word,count,frequency
fawn,15,1.50945826549e-05
nunnery,6,6.03783306197e-06
gag,1,1.00630551033e-06
woods,18,1.81134991859e-05
cxsar,1,1.00630551033e-06
spiders,4,4.02522204131e-06
hanging,45,4.52837479647e-05
wrinching,1,1.00630551033e-06
offendeth,1,1.00630551033e-06
beadsmen,1,1.00630551033e-06
plainely,1,1.00630551033e-06
scold,8,8.05044408262e-06
e_,1,1.00630551033e-06
mustachio,2,2.01261102066e-06
mutinies,5,5.03152755164e-06
benvolio,79,7.94981353159e-05
slothful,1,1.00630551033e-06
lings,1,1.00630551033e-06
appelons_,1,1.00630551033e-06
appropriation,1,1.00630551033e-06
politician,4,4.02522204131e-06
bringing,19,1.91198046962e-05
cullor,1,1.00630551033e-06
widdowes,1,1.00630551033e-06
wooden,9,9.05674959295e-06
weele,4,4.02522204131e-06
beleife,1,1.00630551033e-06
wednesday,15,1.50945826549e-05
sooty,1,1.00630551033e-06
272,1,1.00630551033e-06
sooth,47,4.72963589854e-05
276,1,1.00630551033e-06
sustaining,4,4.02522204131e-06
consenting,4,4.02522204131e-06
errors,15,1.50945826549e-05
paphos,3,3.01891653098e-06
razeth,1,1.00630551033e-06
shocks,3,3.01891653098e-06
crouch,4,4.02522204131e-06
chins,4,4.02522204131e-06
siward,28,2.81765542892e-05
sunbeams,1,1.00630551033e-06
chine,2,2.01261102066e-06
china,1,1.00630551033e-06
properest,1,1.00630551033e-06
shadowie,1,1.00630551033e-06
chink,5,5.03152755164e-06
natured,1,1.00630551033e-06
climbed,1,1.00630551033e-06
_march,3,3.01891653098e-06
controversy,11,1.10693606136e-05
natures,27,2.71702487788e-05
climber,2,2.01261102066e-06
stringless,1,1.00630551033e-06
ycleped,1,1.00630551033e-06
golden,106,0.000106668384095
projection,1,1.00630551033e-06
lengthen,4,4.02522204131e-06
stern,34,3.42143873511e-05
homespuns,1,1.00630551033e-06
nightwork,3,3.01891653098e-06
sternest,1,1.00630551033e-06
vicegerent,1,1.00630551033e-06
music,209,0.000210317851658
therefore,657,0.000661142720285
sermons,1,1.00630551033e-06
thassos,1,1.00630551033e-06
schoolboys,2,2.01261102066e-06
unpack,1,1.00630551033e-06
blustering,3,3.01891653098e-06
locked,4,4.02522204131e-06
monarchize,1,1.00630551033e-06
lockes,2,2.01261102066e-06
wand,20,2.01261102066e-05
pooped,1,1.00630551033e-06
unjust,24,2.41513322479e-05
reignier,49,4.93089700061e-05
disparagement,2,2.01261102066e-06
kingdoms,26,2.61639432685e-05
want,160,0.000161008881652
_bertram,1,1.00630551033e-06
cookery,2,2.01261102066e-06
absolute,34,3.42143873511e-05
carous,3,3.01891653098e-06
travel,38,3.82396093925e-05
copious,2,2.01261102066e-06
_awaking,1,1.00630551033e-06
_behind,2,2.01261102066e-06
cadence,1,1.00630551033e-06
1172,1,1.00630551033e-06
peece,9,9.05674959295e-06
halloing,2,2.01261102066e-06
wrong,299,0.000300885347588
sedg,1,1.00630551033e-06
sentencing,1,1.00630551033e-06
crooking,1,1.00630551033e-06
wronk,1,1.00630551033e-06
_cymbeline,2,2.01261102066e-06
gardon,4,4.02522204131e-06
misgives,4,4.02522204131e-06
welcomed,1,1.00630551033e-06
puling,4,4.02522204131e-06
rewarder,1,1.00630551033e-06
whizzing,1,1.00630551033e-06
taborour,1,1.00630551033e-06
rewarded,3,3.01891653098e-06
